Time (s),P_PCC (pu),P_down (pu),P_up (pu)
-1.0,-0.95,-0.97,-0.9299999999999999
-0.9992999299929993,-0.95,-0.97,-0.9299999999999999
-0.9985998599859987,-0.95,-0.97,-0.9299999999999999
-0.9978997899789979,-0.95,-0.97,-0.9299999999999999
-0.9971997199719972,-0.95,-0.97,-0.9299999999999999
-0.9964996499649965,-0.95,-0.97,-0.9299999999999999
-0.9957995799579958,-0.95,-0.97,-0.9299999999999999
-0.995099509950995,-0.95,-0.97,-0.9299999999999999
-0.9943994399439944,-0.95,-0.97,-0.9299999999999999
-0.9936993699369937,-0.95,-0.97,-0.9299999999999999
-0.992999299929993,-0.95,-0.97,-0.9299999999999999
-0.9922992299229924,-0.95,-0.97,-0.9299999999999999
-0.9915991599159916,-0.95,-0.97,-0.9299999999999999
-0.9908990899089909,-0.95,-0.97,-0.9299999999999999
-0.9901990199019902,-0.95,-0.97,-0.9299999999999999
-0.9894989498949895,-0.95,-0.97,-0.9299999999999999
-0.9887988798879888,-0.95,-0.97,-0.9299999999999999
-0.9880988098809881,-0.95,-0.97,-0.9299999999999999
-0.9873987398739874,-0.95,-0.97,-0.9299999999999999
-0.9866986698669867,-0.95,-0.97,-0.9299999999999999
-0.985998599859986,-0.95,-0.97,-0.9299999999999999
-0.9852985298529853,-0.95,-0.97,-0.9299999999999999
-0.9845984598459846,-0.95,-0.97,-0.9299999999999999
-0.9838983898389839,-0.95,-0.97,-0.9299999999999999
-0.9831983198319832,-0.95,-0.97,-0.9299999999999999
-0.9824982498249825,-0.95,-0.97,-0.9299999999999999
-0.9817981798179818,-0.95,-0.97,-0.9299999999999999
-0.9810981098109811,-0.95,-0.97,-0.9299999999999999
-0.9803980398039804,-0.95,-0.97,-0.9299999999999999
-0.9796979697969797,-0.95,-0.97,-0.9299999999999999
-0.978997899789979,-0.95,-0.97,-0.9299999999999999
-0.9782978297829783,-0.95,-0.97,-0.9299999999999999
-0.9775977597759776,-0.95,-0.97,-0.9299999999999999
-0.976897689768977,-0.95,-0.97,-0.9299999999999999
-0.9761976197619762,-0.95,-0.97,-0.9299999999999999
-0.9754975497549755,-0.95,-0.97,-0.9299999999999999
-0.9747974797479748,-0.95,-0.97,-0.9299999999999999
-0.9740974097409741,-0.95,-0.97,-0.9299999999999999
-0.9733973397339734,-0.95,-0.97,-0.9299999999999999
-0.9726972697269727,-0.95,-0.97,-0.9299999999999999
-0.971997199719972,-0.95,-0.97,-0.9299999999999999
-0.9712971297129713,-0.95,-0.97,-0.9299999999999999
-0.9705970597059705,-0.95,-0.97,-0.9299999999999999
-0.9698969896989699,-0.95,-0.97,-0.9299999999999999
-0.9691969196919692,-0.95,-0.97,-0.9299999999999999
-0.9684968496849685,-0.95,-0.97,-0.9299999999999999
-0.9677967796779678,-0.95,-0.97,-0.9299999999999999
-0.9670967096709671,-0.95,-0.97,-0.9299999999999999
-0.9663966396639664,-0.95,-0.97,-0.9299999999999999
-0.9656965696569657,-0.95,-0.97,-0.9299999999999999
-0.964996499649965,-0.95,-0.97,-0.9299999999999999
-0.9642964296429642,-0.95,-0.97,-0.9299999999999999
-0.9635963596359636,-0.95,-0.97,-0.9299999999999999
-0.9628962896289629,-0.95,-0.97,-0.9299999999999999
-0.9621962196219622,-0.95,-0.97,-0.9299999999999999
-0.9614961496149615,-0.95,-0.97,-0.9299999999999999
-0.9607960796079608,-0.95,-0.97,-0.9299999999999999
-0.9600960096009601,-0.95,-0.97,-0.9299999999999999
-0.9593959395939594,-0.95,-0.97,-0.9299999999999999
-0.9586958695869587,-0.95,-0.97,-0.9299999999999999
-0.957995799579958,-0.95,-0.97,-0.9299999999999999
-0.9572957295729573,-0.95,-0.97,-0.9299999999999999
-0.9565956595659566,-0.95,-0.97,-0.9299999999999999
-0.9558955895589559,-0.95,-0.97,-0.9299999999999999
-0.9551955195519553,-0.95,-0.97,-0.9299999999999999
-0.9544954495449545,-0.95,-0.97,-0.9299999999999999
-0.9537953795379538,-0.95,-0.97,-0.9299999999999999
-0.9530953095309531,-0.95,-0.97,-0.9299999999999999
-0.9523952395239524,-0.95,-0.97,-0.9299999999999999
-0.9516951695169517,-0.95,-0.97,-0.9299999999999999
-0.950995099509951,-0.95,-0.97,-0.9299999999999999
-0.9502950295029503,-0.95,-0.97,-0.9299999999999999
-0.9495949594959496,-0.95,-0.97,-0.9299999999999999
-0.9488948894889488,-0.95,-0.97,-0.9299999999999999
-0.9481948194819482,-0.95,-0.97,-0.9299999999999999
-0.9474947494749475,-0.95,-0.97,-0.9299999999999999
-0.9467946794679468,-0.95,-0.97,-0.9299999999999999
-0.9460946094609461,-0.95,-0.97,-0.9299999999999999
-0.9453945394539454,-0.95,-0.97,-0.9299999999999999
-0.9446944694469447,-0.95,-0.97,-0.9299999999999999
-0.943994399439944,-0.95,-0.97,-0.9299999999999999
-0.9432943294329433,-0.95,-0.97,-0.9299999999999999
-0.9425942594259425,-0.95,-0.97,-0.9299999999999999
-0.9418941894189419,-0.95,-0.97,-0.9299999999999999
-0.9411941194119412,-0.95,-0.97,-0.9299999999999999
-0.9404940494049405,-0.95,-0.97,-0.9299999999999999
-0.9397939793979397,-0.95,-0.97,-0.9299999999999999
-0.9390939093909391,-0.95,-0.97,-0.9299999999999999
-0.9383938393839384,-0.95,-0.97,-0.9299999999999999
-0.9376937693769377,-0.95,-0.97,-0.9299999999999999
-0.936993699369937,-0.95,-0.97,-0.9299999999999999
-0.9362936293629363,-0.95,-0.97,-0.9299999999999999
-0.9355935593559356,-0.95,-0.97,-0.9299999999999999
-0.9348934893489349,-0.95,-0.97,-0.9299999999999999
-0.9341934193419342,-0.95,-0.97,-0.9299999999999999
-0.9334933493349336,-0.95,-0.97,-0.9299999999999999
-0.9327932793279328,-0.95,-0.97,-0.9299999999999999
