Time (s),P_PCC (pu),P_down (pu),P_up (pu)
-1.0,-0.95,-0.97,-0.9299999999999999
-0.9996999699969997,-0.95,-0.97,-0.9299999999999999
-0.9993999399939995,-0.95,-0.97,-0.9299999999999999
-0.9990999099909991,-0.95,-0.97,-0.9299999999999999
-0.9987998799879988,-0.95,-0.97,-0.9299999999999999
-0.9984998499849985,-0.95,-0.97,-0.9299999999999999
-0.9981998199819982,-0.95,-0.97,-0.9299999999999999
-0.9978997899789979,-0.95,-0.97,-0.9299999999999999
-0.9975997599759976,-0.95,-0.97,-0.9299999999999999
-0.9972997299729973,-0.95,-0.97,-0.9299999999999999
-0.996999699969997,-0.95,-0.97,-0.9299999999999999
-0.9966996699669967,-0.95,-0.97,-0.9299999999999999
-0.9963996399639964,-0.95,-0.97,-0.9299999999999999
-0.9960996099609961,-0.95,-0.97,-0.9299999999999999
-0.9957995799579958,-0.95,-0.97,-0.9299999999999999
-0.9954995499549955,-0.95,-0.97,-0.9299999999999999
-0.9951995199519952,-0.95,-0.97,-0.9299999999999999
-0.9948994899489949,-0.95,-0.97,-0.9299999999999999
-0.9945994599459946,-0.95,-0.97,-0.9299999999999999
-0.9942994299429943,-0.95,-0.97,-0.9299999999999999
-0.993999399939994,-0.95,-0.97,-0.9299999999999999
-0.9936993699369937,-0.95,-0.97,-0.9299999999999999
-0.9933993399339934,-0.95,-0.97,-0.9299999999999999
-0.993099309930993,-0.95,-0.97,-0.9299999999999999
-0.9927992799279928,-0.95,-0.97,-0.9299999999999999
-0.9924992499249925,-0.95,-0.97,-0.9299999999999999
-0.9921992199219922,-0.95,-0.97,-0.9299999999999999
-0.991899189918992,-0.95,-0.97,-0.9299999999999999
-0.9915991599159916,-0.95,-0.97,-0.9299999999999999
-0.9912991299129913,-0.95,-0.97,-0.9299999999999999
-0.990999099909991,-0.95,-0.97,-0.9299999999999999
-0.9906990699069907,-0.95,-0.97,-0.9299999999999999
-0.9903990399039904,-0.95,-0.97,-0.9299999999999999
-0.9900990099009901,-0.95,-0.97,-0.9299999999999999
-0.9897989798979898,-0.95,-0.97,-0.9299999999999999
-0.9894989498949895,-0.95,-0.97,-0.9299999999999999
-0.9891989198919892,-0.95,-0.97,-0.9299999999999999
-0.9888988898889889,-0.95,-0.97,-0.9299999999999999
-0.9885988598859886,-0.95,-0.97,-0.9299999999999999
-0.9882988298829883,-0.95,-0.97,-0.9299999999999999
-0.987998799879988,-0.95,-0.97,-0.9299999999999999
-0.9876987698769877,-0.95,-0.97,-0.9299999999999999
-0.9873987398739874,-0.95,-0.97,-0.9299999999999999
-0.9870987098709871,-0.95,-0.97,-0.9299999999999999
-0.9867986798679867,-0.95,-0.97,-0.9299999999999999
-0.9864986498649865,-0.95,-0.97,-0.9299999999999999
-0.9861986198619862,-0.95,-0.97,-0.9299999999999999
-0.9858985898589859,-0.95,-0.97,-0.9299999999999999
-0.9855985598559855,-0.95,-0.97,-0.9299999999999999
-0.9852985298529853,-0.95,-0.97,-0.9299999999999999
-0.984998499849985,-0.95,-0.97,-0.9299999999999999
-0.9846984698469847,-0.95,-0.97,-0.9299999999999999
-0.9843984398439845,-0.95,-0.97,-0.9299999999999999
-0.9840984098409841,-0.95,-0.97,-0.9299999999999999
-0.9837983798379838,-0.95,-0.97,-0.9299999999999999
-0.9834983498349835,-0.95,-0.97,-0.9299999999999999
-0.9831983198319832,-0.95,-0.97,-0.9299999999999999
-0.9828982898289829,-0.95,-0.97,-0.9299999999999999
-0.9825982598259826,-0.95,-0.97,-0.9299999999999999
-0.9822982298229823,-0.95,-0.97,-0.9299999999999999
-0.981998199819982,-0.95,-0.97,-0.9299999999999999
-0.9816981698169817,-0.95,-0.97,-0.9299999999999999
-0.9813981398139814,-0.95,-0.97,-0.9299999999999999
-0.9810981098109811,-0.95,-0.97,-0.9299999999999999
-0.9807980798079808,-0.95,-0.97,-0.9299999999999999
-0.9804980498049805,-0.95,-0.97,-0.9299999999999999
-0.9801980198019802,-0.95,-0.97,-0.9299999999999999
-0.9798979897989799,-0.95,-0.97,-0.9299999999999999
-0.9795979597959796,-0.95,-0.97,-0.9299999999999999
-0.9792979297929792,-0.95,-0.97,-0.9299999999999999
-0.978997899789979,-0.95,-0.97,-0.9299999999999999
-0.9786978697869787,-0.95,-0.97,-0.9299999999999999
-0.9783978397839784,-0.95,-0.97,-0.9299999999999999
-0.978097809780978,-0.95,-0.97,-0.9299999999999999
-0.9777977797779778,-0.95,-0.97,-0.9299999999999999
-0.9774977497749775,-0.95,-0.97,-0.9299999999999999
-0.9771977197719772,-0.95,-0.97,-0.9299999999999999
-0.976897689768977,-0.95,-0.97,-0.9299999999999999
-0.9765976597659766,-0.95,-0.97,-0.9299999999999999
-0.9762976297629763,-0.95,-0.97,-0.9299999999999999
-0.975997599759976,-0.95,-0.97,-0.9299999999999999
-0.9756975697569757,-0.95,-0.97,-0.9299999999999999
-0.9753975397539754,-0.95,-0.97,-0.9299999999999999
-0.9750975097509751,-0.95,-0.97,-0.9299999999999999
-0.9747974797479748,-0.95,-0.97,-0.9299999999999999
-0.9744974497449745,-0.95,-0.97,-0.9299999999999999
-0.9741974197419742,-0.95,-0.97,-0.9299999999999999
-0.9738973897389739,-0.95,-0.97,-0.9299999999999999
-0.9735973597359736,-0.95,-0.97,-0.9299999999999999
-0.9732973297329733,-0.95,-0.97,-0.9299999999999999
-0.972997299729973,-0.95,-0.97,-0.9299999999999999
-0.9726972697269727,-0.95,-0.97,-0.9299999999999999
-0.9723972397239724,-0.95,-0.97,-0.9299999999999999
-0.9720972097209721,-0.95,-0.97,-0.9299999999999999
-0.9717971797179717,-0.95,-0.97,-0.9299999999999999
-0.9714971497149715,-0.95,-0.97,-0.9299999999999999
-0.9711971197119712,-0.95,-0.97,-0.9299999999999999
-0.9708970897089709,-0.95,-0.97,-0.9299999999999999
-0.9705970597059705,-0.95,-0.97,-0.9299999999999999
-0.9702970297029703,-0.95,-0.97,-0.9299999999999999
-0.96999699969997,-0.95,-0.97,-0.9299999999999999
-0.9696969696969697,-0.95,-0.97,-0.9299999999999999
-0.9693969396939695,-0.95,-0.97,-0.9299999999999999
-0.9690969096909691,-0.95,-0.97,-0.9299999999999999
-0.9687968796879688,-0.95,-0.97,-0.9299999999999999
-0.9684968496849685,-0.95,-0.97,-0.9299999999999999
-0.9681968196819682,-0.95,-0.97,-0.9299999999999999
-0.9678967896789679,-0.95,-0.97,-0.9299999999999999
-0.9675967596759676,-0.95,-0.97,-0.9299999999999999
-0.9672967296729673,-0.95,-0.97,-0.9299999999999999
-0.966996699669967,-0.95,-0.97,-0.9299999999999999
-0.9666966696669667,-0.95,-0.97,-0.9299999999999999
-0.9663966396639664,-0.95,-0.97,-0.9299999999999999
-0.9660966096609661,-0.95,-0.97,-0.9299999999999999
-0.9657965796579658,-0.95,-0.97,-0.9299999999999999
-0.9654965496549655,-0.95,-0.97,-0.9299999999999999
-0.9651965196519652,-0.95,-0.97,-0.9299999999999999
-0.9648964896489649,-0.95,-0.97,-0.9299999999999999
-0.9645964596459646,-0.95,-0.97,-0.9299999999999999
-0.9642964296429642,-0.95,-0.97,-0.9299999999999999
-0.963996399639964,-0.95,-0.97,-0.9299999999999999
-0.9636963696369637,-0.95,-0.97,-0.9299999999999999
-0.9633963396339634,-0.95,-0.97,-0.9299999999999999
-0.963096309630963,-0.95,-0.97,-0.9299999999999999
-0.9627962796279628,-0.95,-0.97,-0.9299999999999999
-0.9624962496249625,-0.95,-0.97,-0.9299999999999999
-0.9621962196219622,-0.95,-0.97,-0.9299999999999999
-0.961896189618962,-0.95,-0.97,-0.9299999999999999
-0.9615961596159616,-0.95,-0.97,-0.9299999999999999
-0.9612961296129613,-0.95,-0.97,-0.9299999999999999
-0.960996099609961,-0.95,-0.97,-0.9299999999999999
-0.9606960696069606,-0.95,-0.97,-0.9299999999999999
-0.9603960396039604,-0.95,-0.97,-0.9299999999999999
-0.9600960096009601,-0.95,-0.97,-0.9299999999999999
-0.9597959795979598,-0.95,-0.97,-0.9299999999999999
-0.9594959495949595,-0.95,-0.97,-0.9299999999999999
-0.9591959195919592,-0.95,-0.97,-0.9299999999999999
-0.9588958895889589,-0.95,-0.97,-0.9299999999999999
-0.9585958595859586,-0.95,-0.97,-0.9299999999999999
-0.9582958295829583,-0.95,-0.97,-0.9299999999999999
-0.957995799579958,-0.95,-0.97,-0.9299999999999999
-0.9576957695769577,-0.95,-0.97,-0.9299999999999999
-0.9573957395739574,-0.95,-0.97,-0.9299999999999999
-0.9570957095709571,-0.95,-0.97,-0.9299999999999999
-0.9567956795679567,-0.95,-0.97,-0.9299999999999999
-0.9564956495649565,-0.95,-0.97,-0.9299999999999999
-0.9561956195619562,-0.95,-0.97,-0.9299999999999999
-0.9558955895589559,-0.95,-0.97,-0.9299999999999999
-0.9555955595559555,-0.95,-0.97,-0.9299999999999999
-0.9552955295529553,-0.95,-0.97,-0.9299999999999999
-0.954995499549955,-0.95,-0.97,-0.9299999999999999
-0.9546954695469547,-0.95,-0.97,-0.9299999999999999
-0.9543954395439544,-0.95,-0.97,-0.9299999999999999
-0.9540954095409541,-0.95,-0.97,-0.9299999999999999
-0.9537953795379538,-0.95,-0.97,-0.9299999999999999
-0.9534953495349535,-0.95,-0.97,-0.9299999999999999
-0.9531953195319531,-0.95,-0.97,-0.9299999999999999
-0.9528952895289529,-0.95,-0.97,-0.9299999999999999
-0.9525952595259526,-0.95,-0.97,-0.9299999999999999
-0.9522952295229523,-0.95,-0.97,-0.9299999999999999
-0.951995199519952,-0.95,-0.97,-0.9299999999999999
-0.9516951695169517,-0.95,-0.97,-0.9299999999999999
-0.9513951395139514,-0.95,-0.97,-0.9299999999999999
-0.9510951095109511,-0.95,-0.97,-0.9299999999999999
-0.9507950795079508,-0.95,-0.97,-0.9299999999999999
-0.9504950495049505,-0.95,-0.97,-0.9299999999999999
-0.9501950195019502,-0.95,-0.97,-0.9299999999999999
-0.9498949894989499,-0.95,-0.97,-0.9299999999999999
-0.9495949594959496,-0.95,-0.97,-0.9299999999999999
-0.9492949294929492,-0.95,-0.97,-0.9299999999999999
-0.948994899489949,-0.95,-0.97,-0.9299999999999999
-0.9486948694869487,-0.95,-0.97,-0.9299999999999999
-0.9483948394839484,-0.95,-0.97,-0.9299999999999999
-0.948094809480948,-0.95,-0.97,-0.9299999999999999
-0.9477947794779478,-0.95,-0.97,-0.9299999999999999
-0.9474947494749475,-0.95,-0.97,-0.9299999999999999
-0.9471947194719472,-0.95,-0.97,-0.9299999999999999
-0.946894689468947,-0.95,-0.97,-0.9299999999999999
-0.9465946594659466,-0.95,-0.97,-0.9299999999999999
-0.9462946294629463,-0.95,-0.97,-0.9299999999999999
-0.945994599459946,-0.95,-0.97,-0.9299999999999999
-0.9456945694569456,-0.95,-0.97,-0.9299999999999999
-0.9453945394539454,-0.95,-0.97,-0.9299999999999999
-0.9450945094509451,-0.95,-0.97,-0.9299999999999999
-0.9447944794479448,-0.95,-0.97,-0.9299999999999999
-0.9444944494449445,-0.95,-0.97,-0.9299999999999999
-0.9441944194419442,-0.95,-0.97,-0.9299999999999999
-0.9438943894389439,-0.95,-0.97,-0.9299999999999999
-0.9435943594359436,-0.95,-0.97,-0.9299999999999999
-0.9432943294329433,-0.95,-0.97,-0.9299999999999999
-0.942994299429943,-0.95,-0.97,-0.9299999999999999
-0.9426942694269427,-0.95,-0.97,-0.9299999999999999
-0.9423942394239424,-0.95,-0.97,-0.9299999999999999
-0.9420942094209421,-0.95,-0.97,-0.9299999999999999
-0.9417941794179417,-0.95,-0.97,-0.9299999999999999
-0.9414941494149415,-0.95,-0.97,-0.9299999999999999
-0.9411941194119412,-0.95,-0.97,-0.9299999999999999
-0.9408940894089409,-0.95,-0.97,-0.9299999999999999
-0.9405940594059405,-0.95,-0.97,-0.9299999999999999
-0.9402940294029403,-0.95,-0.97,-0.9299999999999999
-0.93999399939994,-0.95,-0.97,-0.9299999999999999
-0.9396939693969397,-0.95,-0.97,-0.9299999999999999
-0.9393939393939394,-0.95,-0.97,-0.9299999999999999
-0.9390939093909391,-0.95,-0.97,-0.9299999999999999
-0.9387938793879388,-0.95,-0.97,-0.9299999999999999
-0.9384938493849385,-0.95,-0.97,-0.9299999999999999
-0.9381938193819381,-0.95,-0.97,-0.9299999999999999
-0.9378937893789379,-0.95,-0.97,-0.9299999999999999
-0.9375937593759376,-0.95,-0.97,-0.9299999999999999
-0.9372937293729373,-0.95,-0.97,-0.9299999999999999
-0.936993699369937,-0.95,-0.97,-0.9299999999999999
-0.9366936693669367,-0.95,-0.97,-0.9299999999999999
-0.9363936393639364,-0.95,-0.97,-0.9299999999999999
-0.9360936093609361,-0.95,-0.97,-0.9299999999999999
-0.9357935793579358,-0.95,-0.97,-0.9299999999999999
-0.9354935493549354,-0.95,-0.97,-0.9299999999999999
-0.9351935193519352,-0.95,-0.97,-0.9299999999999999
-0.9348934893489349,-0.95,-0.97,-0.9299999999999999
-0.9345934593459346,-0.95,-0.97,-0.9299999999999999
-0.9342934293429342,-0.95,-0.97,-0.9299999999999999
-0.933993399339934,-0.95,-0.97,-0.9299999999999999
-0.9336933693369337,-0.95,-0.97,-0.9299999999999999
-0.9333933393339334,-0.95,-0.97,-0.9299999999999999
-0.933093309330933,-0.95,-0.97,-0.9299999999999999
-0.9327932793279328,-0.95,-0.97,-0.9299999999999999
-0.9324932493249325,-0.95,-0.97,-0.9299999999999999
-0.9321932193219322,-0.95,-0.97,-0.9299999999999999
-0.931893189318932,-0.95,-0.97,-0.9299999999999999
-0.9315931593159316,-0.95,-0.97,-0.9299999999999999
-0.9312931293129313,-0.95,-0.97,-0.9299999999999999
-0.930993099309931,-0.95,-0.97,-0.9299999999999999
-0.9306930693069306,-0.95,-0.97,-0.9299999999999999
-0.9303930393039304,-0.95,-0.97,-0.9299999999999999
-0.9300930093009301,-0.95,-0.97,-0.9299999999999999
-0.9297929792979298,-0.95,-0.97,-0.9299999999999999
-0.9294929492949295,-0.95,-0.97,-0.9299999999999999
-0.9291929192919292,-0.95,-0.97,-0.9299999999999999
-0.9288928892889289,-0.95,-0.97,-0.9299999999999999
-0.9285928592859286,-0.95,-0.97,-0.9299999999999999
-0.9282928292829283,-0.95,-0.97,-0.9299999999999999
-0.927992799279928,-0.95,-0.97,-0.9299999999999999
-0.9276927692769277,-0.95,-0.97,-0.9299999999999999
-0.9273927392739274,-0.95,-0.97,-0.9299999999999999
-0.9270927092709271,-0.95,-0.97,-0.9299999999999999
-0.9267926792679267,-0.95,-0.97,-0.9299999999999999
-0.9264926492649265,-0.95,-0.97,-0.9299999999999999
-0.9261926192619262,-0.95,-0.97,-0.9299999999999999
